url/_text,url,pageUrl
Regenerated silk materials for functionalized silk orthopedic devices by mimicking natural processing,http://www.sciencedirect.com/science/article/pii/S0142961216305099,http://www.sciencedirect.com/science/journal/01429612
Near-infrared light-triggered release of small molecules for controlled differentiation and long-term tracking of stem cells in vivo using upconversion nanoparticles,http://www.sciencedirect.com/science/article/pii/S0142961216304951,http://www.sciencedirect.com/science/journal/01429612
Brain delivery of microencapsulated GDNF induces functional and structural recovery in parkinsonian monkeys,http://www.sciencedirect.com/science/article/pii/S0142961216305105,http://www.sciencedirect.com/science/journal/01429612
Biocompatibility of implantable materials: An oxidative stress viewpoint,http://www.sciencedirect.com/science/article/pii/S014296121630494X,http://www.sciencedirect.com/science/journal/01429612/109
Treatment of spinal cord injury by an advanced cell transplantation technology using brain-derived neurotrophic factor-transfected mesenchymal stem cell spheroids,http://www.sciencedirect.com/science/article/pii/S0142961216304859,http://www.sciencedirect.com/science/journal/01429612/109
Monocyte subsets in blood correlate with obesity related response of macrophages to biomaterials in vitro,http://www.sciencedirect.com/science/article/pii/S0142961216304872,http://www.sciencedirect.com/science/journal/01429612/109
Transplantation of tissue engineering neural network and formation of neuronal relay into the transected rat spinal cord,http://www.sciencedirect.com/science/article/pii/S0142961216303854,http://www.sciencedirect.com/science/journal/01429612/109
Targeted multimodal nano-reporters for pre-procedural MRI and intra-operative image-guidance,http://www.sciencedirect.com/science/article/pii/S0142961216304975,http://www.sciencedirect.com/science/journal/01429612/109
Ultrastrong trapping of VEGF by graphene oxide: Anti-angiogenesis application,http://www.sciencedirect.com/science/article/pii/S014296121630480X,http://www.sciencedirect.com/science/journal/01429612/109
Nanoparticle-protein complexes mimicking corona formation in ocular environment,http://www.sciencedirect.com/science/article/pii/S0142961216304860,http://www.sciencedirect.com/science/journal/01429612/109
Efficacy and immunogenicity of unmodified and pseudouridine-modified mRNA delivered systemically with lipid nanoparticles in vivo,http://www.sciencedirect.com/science/article/pii/S0142961216304847,http://www.sciencedirect.com/science/journal/01429612/109
Validation of a cage implant system for assessing in vivo performance of long-acting release microspheres,http://www.sciencedirect.com/science/article/pii/S0142961216303787,http://www.sciencedirect.com/science/journal/01429612/109
Editorial board,http://www.sciencedirect.com/science/article/pii/S0142961216304999,http://www.sciencedirect.com/science/journal/01429612/108
Multifunctional gold-based nanocomposites for theranostics,http://www.sciencedirect.com/science/article/pii/S0142961216304410,http://www.sciencedirect.com/science/journal/01429612/108
Mechanical strength vs. degradation of a biologically-derived surgical mesh over time in a rodent full thickness abdominal wall defect,http://www.sciencedirect.com/science/article/pii/S0142961216304641,http://www.sciencedirect.com/science/journal/01429612/108
Inhibition of lanthanide nanocrystal-induced inflammasome activation in macrophages by a surface coating peptide through abrogation of ROS production and TRPM2-mediated Ca 2+ influx,http://www.sciencedirect.com/science/article/pii/S0142961216304379,http://www.sciencedirect.com/science/journal/01429612/108
Novel antioxidant capability of titanium induced by UV light treatment,http://www.sciencedirect.com/science/article/pii/S0142961216304616,http://www.sciencedirect.com/science/journal/01429612/108
Tissue engineering-based therapeutic strategies for vocal fold repair and regeneration,http://www.sciencedirect.com/science/article/pii/S0142961216304653,http://www.sciencedirect.com/science/journal/01429612/108
Regenerative potential of human airway stem cells in lung epithelial engineering,http://www.sciencedirect.com/science/article/pii/S0142961216304665,http://www.sciencedirect.com/science/journal/01429612/108
Transplantation of allogenic chondrocytes with chitosan hydrogel-demineralized bone matrix hybrid scaffold to repair rabbit cartilage injury,http://www.sciencedirect.com/science/article/pii/S0142961216304768,http://www.sciencedirect.com/science/journal/01429612/108
Heralding a new paradigm in 3D tumor modeling,http://www.sciencedirect.com/science/article/pii/S014296121630463X,http://www.sciencedirect.com/science/journal/01429612/108
Development of a multi-target peptide for potentiating chemotherapy by modulating tumor microenvironment,http://www.sciencedirect.com/science/article/pii/S0142961216304756,http://www.sciencedirect.com/science/journal/01429612/108
Generation of an in vitro 3D PDAC stroma rich spheroid model,http://www.sciencedirect.com/science/article/pii/S0142961216304422,http://www.sciencedirect.com/science/journal/01429612/108
"Aqueous synthesized quantum dots interfere with the NF-κB pathway and confer anti-tumor, anti-viral and anti-inflammatory effects",http://www.sciencedirect.com/science/article/pii/S0142961216304586,http://www.sciencedirect.com/science/journal/01429612/108
Lanthanide (Gd 3+ and Yb 3+ ) functionalized gold nanoparticles for in vivo imaging and therapy,http://www.sciencedirect.com/science/article/pii/S0142961216304628,http://www.sciencedirect.com/science/journal/01429612/108
Chemical gas-generating nanoparticles for tumor-targeted ultrasound imaging and ultrasound-triggered drug delivery,http://www.sciencedirect.com/science/article/pii/S0142961216304604,http://www.sciencedirect.com/science/journal/01429612/108
